Classification_Size,Classification_Focus,Research_Intensity,Status,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_Per_Faculty_Score,International_Faculty_Score,International_Student_Score,Overall_Score
M,FC,VH,A,42.0,20.6,81.0,59.7,86.4,13.0,52.1
XL,FC,VH,A,54.0,29.4,14.0,89.2,51.3,84.4,52.1
M,CO,VH,A,38.1,43.2,37.7,88.4,100.0,40.8,51.9
L,FC,VH,A,53.4,69.4,28.0,48.4,95.7,60.2,51.5
M,FC,VH,B,31.4,49.1,86.3,70.5,4.7,41.5,51.3
XL,FO,VH,A,63.9,93.4,6.5,53.1,36.9,42.4,50.9
L,FC,VH,A,61.6,37.8,31.2,53.8,56.2,48.4,50.8
M,CO,VH,A,54.9,71.1,15.3,91.2,2.0,2.0,50.7
M,CO,VH,A,35.7,40.5,94.9,27.6,100.0,46.6,50.3
L,FC,VH,A,45.4,47.5,53.0,38.7,82.3,96.5,50.3
L,FC,VH,A,47.7,49.2,60.6,53.3,50.7,17.5,50.3
L,CO,VH,A,50.7,87.0,11.5,45.8,97.2,94.5,50.1
S,FO,VH,A,24.7,100.0,79.4,31.8,64.4,90.2,50
XL,FC,VH,B,58.6,37.5,63.1,39.2,18.2,21.7,49.8
M,CO,VH,A,62.3,77.9,32.1,50.8,3.7,2.0,49.7
M,FO,VH,A,28.9,28.2,42.7,92.2,88.0,76.8,49.7
XL,FC,VH,A,62.2,32.5,64.7,23.9,43.8,29.6,49.6
L,FO,VH,A,39.8,75.6,6.2,83.7,67.2,91.2,49.5
L,FC,VH,A,76.9,73.4,22.8,30.0,9.5,5.5,49.5
XL,CO,VH,A,47.0,43.7,65.6,52.0,36.7,17.7,49.5
M,FC,VH,A,34.5,41.3,98.2,23.8,79.4,61.9,49.5
M,FC,VH,B,32.1,9.9,100.0,42.6,47.3,90.0,49.3
L,FC,VH,A,65.7,74.1,43.4,24.7,11.7,24.3,49.2
XL,FC,VH,A,81.5,62.9,8.4,36.9,8.7,11.5,49.1
L,CO,VH,A,39.4,55.8,41.3,51.6,88.1,92.5,49.1
S,SP,VH,A,38.3,22.3,56.1,100.0,69.7,2.1,49
L,FC,VH,A,60.2,55.1,32.9,35.9,59.2,49.2,48.9
XL,FC,VH,B,63.0,80.2,60.7,9.4,11.9,11.3,48.5
S,FO,VH,A,20.8,11.1,91.2,98.3,2.4,18.2,48.5
S,FC,VH,A,18.8,18.7,86.3,96.0,2.0,49.8,48.5
L,CO,VH,A,65.8,27.9,24.4,49.2,64.3,19.1,48.1
XL,FC,VH,A,41.5,77.0,6.8,79.0,92.4,38.5,48.1
XL,FC,VH,A,69.7,54.1,10.2,57.0,10.4,15.5,48.1
XL,FC,VH,A,72.1,41.5,19.0,43.7,21.5,28.6,48.1
L,FC,MD,B,42.8,84.9,77.1,3.7,98.4,23.2,48
